Bandit,Reward,Algorithm
2,3.001185020580567,ThompsonSamplingBandit
1,2.0405907765920364,ThompsonSamplingBandit
1,1.5402401517469744,ThompsonSamplingBandit
0,0.7316725174729769,ThompsonSamplingBandit
1,0.8446473679539817,ThompsonSamplingBandit
2,1.355053103717443,ThompsonSamplingBandit
2,5.84916131607761,ThompsonSamplingBandit
2,3.0335736045639843,ThompsonSamplingBandit
3,3.998030475144967,ThompsonSamplingBandit
2,3.273415609641359,ThompsonSamplingBandit
2,2.697420369269656,ThompsonSamplingBandit
2,2.5577470156101025,ThompsonSamplingBandit
2,3.240708111134631,ThompsonSamplingBandit
3,2.471797794009765,ThompsonSamplingBandit
2,3.618528957301123,ThompsonSamplingBandit
2,0.9327081814086498,ThompsonSamplingBandit
3,4.2169488805249244,ThompsonSamplingBandit
2,1.5295708319002699,ThompsonSamplingBandit
2,0.9537500096296152,ThompsonSamplingBandit
3,1.8176326873152422,ThompsonSamplingBandit
2,3.460476540104259,ThompsonSamplingBandit
2,3.7891667244013476,ThompsonSamplingBandit
2,4.229883143554528,ThompsonSamplingBandit
2,3.197060167245803,ThompsonSamplingBandit
2,4.732458473061696,ThompsonSamplingBandit
2,1.4440013753897338,ThompsonSamplingBandit
2,2.839929590121088,ThompsonSamplingBandit
3,4.386035428059539,ThompsonSamplingBandit
2,1.7967493442545333,ThompsonSamplingBandit
3,4.713571592543553,ThompsonSamplingBandit
3,3.4148409244476476,ThompsonSamplingBandit
3,3.789348096126486,ThompsonSamplingBandit
2,1.318247191679054,ThompsonSamplingBandit
3,3.1729144739493327,ThompsonSamplingBandit
3,4.146137818656821,ThompsonSamplingBandit
3,2.5656227369702007,ThompsonSamplingBandit
3,5.753993190745019,ThompsonSamplingBandit
3,2.5083571633383546,ThompsonSamplingBandit
3,1.8000152656595292,ThompsonSamplingBandit
3,3.9208289735157287,ThompsonSamplingBandit
3,4.602162669619212,ThompsonSamplingBandit
3,3.0531286664529507,ThompsonSamplingBandit
3,3.6383645819762647,ThompsonSamplingBandit
3,3.539158463018258,ThompsonSamplingBandit
3,3.4280525452620907,ThompsonSamplingBandit
3,3.397200697988372,ThompsonSamplingBandit
3,3.9702038536662028,ThompsonSamplingBandit
3,3.4845477638501077,ThompsonSamplingBandit
3,2.366020341130731,ThompsonSamplingBandit
3,5.015879557039398,ThompsonSamplingBandit
3,4.448258902130793,ThompsonSamplingBandit
3,3.463248534976694,ThompsonSamplingBandit
3,3.5994188436361827,ThompsonSamplingBandit
3,3.1783320243033177,ThompsonSamplingBandit
3,3.9260273514168396,ThompsonSamplingBandit
3,3.2575363014251923,ThompsonSamplingBandit
3,3.7072117750984472,ThompsonSamplingBandit
3,2.492624471347347,ThompsonSamplingBandit
3,4.5950868286560524,ThompsonSamplingBandit
3,2.582687676726273,ThompsonSamplingBandit
3,2.9839128646048474,ThompsonSamplingBandit
3,4.911705378109254,ThompsonSamplingBandit
3,4.294613325169035,ThompsonSamplingBandit
3,4.145749659488851,ThompsonSamplingBandit
3,4.872819155344572,ThompsonSamplingBandit
3,3.978603281303722,ThompsonSamplingBandit
3,3.277756464943103,ThompsonSamplingBandit
3,4.691119147369974,ThompsonSamplingBandit
3,2.102596810260236,ThompsonSamplingBandit
3,3.9834413174464394,ThompsonSamplingBandit
3,3.5582663485254837,ThompsonSamplingBandit
3,2.7980344766174934,ThompsonSamplingBandit
3,4.239855765310981,ThompsonSamplingBandit
3,3.7815422603271402,ThompsonSamplingBandit
3,3.8464061060261177,ThompsonSamplingBandit
3,4.907485535371692,ThompsonSamplingBandit
3,4.5040087330415055,ThompsonSamplingBandit
3,4.127335732648206,ThompsonSamplingBandit
3,3.937931340623191,ThompsonSamplingBandit
3,4.806600546043401,ThompsonSamplingBandit
3,4.978230309777114,ThompsonSamplingBandit
3,4.4522110419403305,ThompsonSamplingBandit
3,2.9013728507854553,ThompsonSamplingBandit
3,3.6042960397566435,ThompsonSamplingBandit
3,3.2419256512125014,ThompsonSamplingBandit
3,3.9086838193541933,ThompsonSamplingBandit
